1731606016004096584,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606015, nanosec=979973306), frame_id='camera'), detections=[])"
1731606016034957547,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=11427566), frame_id='camera'), detections=[])"
1731606016067611955,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=44422529), frame_id='camera'), detections=[])"
1731606016101937436,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=77432603), frame_id='camera'), detections=[])"
1731606016134048417,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=110284806), frame_id='camera'), detections=[])"
1731606016173364529,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=148452084), frame_id='camera'), detections=[])"
1731606016201341510,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=179617788), frame_id='camera'), detections=[])"
1731606016236396417,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=213107788), frame_id='camera'), detections=[])"
1731606016269238436,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=245245362), frame_id='camera'), detections=[])"
1731606016302773658,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=276694288), frame_id='camera'), detections=[])"
